;Data;Hora UTC;RADIACAO GLOBAL (Kj/m²)
1002;11/02/24;1800 UTC;1544.7
1003;11/02/24;1900 UTC;693.8
1004;11/02/24;2000 UTC;461.3
1005;11/02/24;2100 UTC;67.1
1017;12/02/24;0900 UTC;87.2
1018;12/02/24;1000 UTC;592.7
1019;12/02/24;1100 UTC;1414.9
1020;12/02/24;1200 UTC;1767.6
1021;12/02/24;1300 UTC;2034.2
1022;12/02/24;1400 UTC;2507.9
1023;12/02/24;1500 UTC;1626.4
1024;12/02/24;1600 UTC;2217.3
1025;12/02/24;1700 UTC;1121.5
1026;12/02/24;1800 UTC;997.1
1027;12/02/24;1900 UTC;875.9
1028;12/02/24;2000 UTC;320.1
1029;12/02/24;2100 UTC;90.1
1035;13/02/24;0300 UTC;1.2
1037;13/02/24;0500 UTC;0.7
1041;13/02/24;0900 UTC;53.6
1042;13/02/24;1000 UTC;716.2
1043;13/02/24;1100 UTC;1500.5
1044;13/02/24;1200 UTC;2069.8
1045;13/02/24;1300 UTC;2907.2
1046;13/02/24;1400 UTC;3771.7
1047;13/02/24;1500 UTC;3836.8
1048;13/02/24;1600 UTC;3582.0
1049;13/02/24;1700 UTC;2863.0
1050;13/02/24;1800 UTC;2497.9
1051;13/02/24;1900 UTC;1784.7
1052;13/02/24;2000 UTC;475.2
1053;13/02/24;2100 UTC;113.0
1065;14/02/24;0900 UTC;63.8
1066;14/02/24;1000 UTC;637.9
1067;14/02/24;1100 UTC;421.8
1068;14/02/24;1200 UTC;735.1
1069;14/02/24;1300 UTC;2171.6
1070;14/02/24;1400 UTC;2238.7
1071;14/02/24;1500 UTC;3755.6
1072;14/02/24;1600 UTC;3378.7
1073;14/02/24;1700 UTC;2609.6
1074;14/02/24;1800 UTC;2389.2
1075;14/02/24;1900 UTC;1143.5
1076;14/02/24;2000 UTC;605.6
1077;14/02/24;2100 UTC;86.5
1089;15/02/24;0900 UTC;32.0
1090;15/02/24;1000 UTC;515.4
1091;15/02/24;1100 UTC;1516.3
1092;15/02/24;1200 UTC;2098.1
1093;15/02/24;1300 UTC;2011.1
1094;15/02/24;1400 UTC;2999.6
1095;15/02/24;1500 UTC;3800.0
1096;15/02/24;1600 UTC;2691.9
1097;15/02/24;1700 UTC;2057.9
1098;15/02/24;1800 UTC;1994.6
1099;15/02/24;1900 UTC;1332.5
1100;15/02/24;2000 UTC;735.9
1101;15/02/24;2100 UTC;69.3
1113;16/02/24;0900 UTC;40.8
1114;16/02/24;1000 UTC;186.5
1115;16/02/24;1100 UTC;441.4
1116;16/02/24;1200 UTC;535.6
1117;16/02/24;1300 UTC;1071.1
1118;16/02/24;1400 UTC;2037.9
1119;16/02/24;1500 UTC;2545.7
1120;16/02/24;1600 UTC;3073.4
1121;16/02/24;1700 UTC;2193.8
1122;16/02/24;1800 UTC;1906.2
1123;16/02/24;1900 UTC;1079.1
1124;16/02/24;2000 UTC;349.3
1125;16/02/24;2100 UTC;85.5
1137;17/02/24;0900 UTC;27.1
1138;17/02/24;1000 UTC;577.2
1139;17/02/24;1100 UTC;1264.3
1140;17/02/24;1200 UTC;1874.7
1141;17/02/24;1300 UTC;2511.7
1142;17/02/24;1400 UTC;2485.5
1143;17/02/24;1500 UTC;2926.8
1144;17/02/24;1600 UTC;3159.3
1145;17/02/24;1700 UTC;3073.5
1146;17/02/24;1800 UTC;2423.9
1147;17/02/24;1900 UTC;1652.7
1148;17/02/24;2000 UTC;694.3
1149;17/02/24;2100 UTC;73.9
1161;18/02/24;0900 UTC;30.3
1162;18/02/24;1000 UTC;235.5
1163;18/02/24;1100 UTC;656.6
1164;18/02/24;1200 UTC;1429.0
1165;18/02/24;1300 UTC;1361.4
1166;18/02/24;1400 UTC;1166.0
1167;18/02/24;1500 UTC;810.8
1168;18/02/24;1600 UTC;304.4
1169;18/02/24;1700 UTC;151.8
1170;18/02/24;1800 UTC;108.1
1171;18/02/24;1900 UTC;115.5
1172;18/02/24;2000 UTC;121.4
1173;18/02/24;2100 UTC;30.1
1185;19/02/24;0900 UTC;42.2
1186;19/02/24;1000 UTC;416.9
1187;19/02/24;1100 UTC;1186.7
1188;19/02/24;1200 UTC;1959.0
1189;19/02/24;1300 UTC;2649.8
1190;19/02/24;1400 UTC;2084.4
1191;19/02/24;1500 UTC;2346.5
1192;19/02/24;1600 UTC;2804.9
1193;19/02/24;1700 UTC;2645.1
1194;19/02/24;1800 UTC;1749.0
1195;19/02/24;1900 UTC;712.9
1196;19/02/24;2000 UTC;530.0
1197;19/02/24;2100 UTC;70.2
1209;20/02/24;0900 UTC;24.6
1210;20/02/24;1000 UTC;213.2
1211;20/02/24;1100 UTC;712.2
1212;20/02/24;1200 UTC;2591.5
1213;20/02/24;1300 UTC;3047.7
1214;20/02/24;1400 UTC;2337.7
1215;20/02/24;1500 UTC;2960.8
1216;20/02/24;1600 UTC;2561.3
1217;20/02/24;1700 UTC;2587.0
1218;20/02/24;1800 UTC;1739.5
1219;20/02/24;1900 UTC;1232.4
1220;20/02/24;2000 UTC;478.4
1221;20/02/24;2100 UTC;78.4
1233;21/02/24;0900 UTC;28.0
